,area,perimeter,aspect_ratio,rectangularity,circularity,contrast,correlation,inverse_difference_moments,entropy,mean_r,mean_g,mean_b,std_r,std_g,std_b
0,40140.5,1231.8447955846786,0.37915742793791574,1.9212765162367185,37.80325607326911,6.745533695924458,0.9949556947533171,0.9618412975459691,0.8332616131799574,5.835965744831724,8.007464135711558,3.6955402825505916,27.929325707485305,36.26045585545117,21.953890863039835
0,38404.0,1100.3229365348816,0.3586698337292161,1.655322362253932,31.525637034286664,6.871590053092925,0.9952578161920209,0.966153408300878,0.795021506430101,5.166554300987291,7.354857361042928,3.152128947799051,25.889090336315263,34.271429068197314,20.77844762339842
0,41630.0,1259.5777697563171,0.32421052631578945,1.757146288734086,38.11040494989906,7.616396901930819,0.9948904426122214,0.961574294301576,0.8799825147521452,5.857599956362843,8.244452080946926,3.6989810723831344,27.990356853378486,36.63313479779263,22.67667945096107
0,33851.0,1172.6660823822021,0.28888888888888886,1.7281616495819916,40.62348943220648,5.259432430495748,0.9948002767406793,0.9692698273644004,0.7351897044529839,5.328032509681994,7.304182621502209,3.008711067473954,27.57975015946457,35.85090138868326,20.882366776245263
0,42196.0,1116.6315925121307,0.3761904761904762,1.5726609157266092,29.549391255004675,11.035713503017856,0.99389665758833,0.959762856008217,0.9137570617896779,5.082784050619102,7.6434047891779855,3.255865379370534,25.789336841839,34.42972923228736,21.383011484722424
0,38404.0,1100.3229365348816,0.3586698337292161,1.655322362253932,31.525637034286664,6.871590053092925,0.9952578161920209,0.966153408300878,0.795021506430101,5.166554300987291,7.354857361042928,3.152128947799051,25.889090336315263,34.271429068197314,20.77844762339842
0,41630.0,1259.5777697563171,0.32421052631578945,1.757146288734086,38.11040494989906,7.616396901930819,0.9948904426122214,0.961574294301576,0.8799825147521452,5.857599956362843,8.244452080946926,3.6989810723831344,27.990356853378486,36.63313479779263,22.67667945096107
0,33851.0,1172.6660823822021,0.28888888888888886,1.7281616495819916,40.62348943220648,5.259432430495748,0.9948002767406793,0.9692698273644004,0.7351897044529839,5.328032509681994,7.304182621502209,3.008711067473954,27.57975015946457,35.85090138868326,20.882366776245263
0,40140.5,1231.8447955846786,0.37915742793791574,1.9212765162367185,37.80325607326911,6.745533695924458,0.9949556947533171,0.9618412975459691,0.8332616131799574,5.835965744831724,8.007464135711558,3.6955402825505916,27.929325707485305,36.26045585545117,21.953890863039835
0,42196.0,1116.6315925121307,0.3761904761904762,1.5726609157266092,29.549391255004675,11.035713503017856,0.99389665758833,0.959762856008217,0.9137570617896779,5.082784050619102,7.6434047891779855,3.255865379370534,25.789336841839,34.42972923228736,21.383011484722424
0,4862.0,302.2497808933258,0.6634615384615384,1.4759358288770053,18.789578373110544,1.7296199065181252,0.9862652749485935,0.9935972523722746,0.2951472428037129,5.658461790214368,5.552678775977745,5.282289859815633,36.26881866002918,36.18324217641756,35.74444844605809
0,4594.5,288.0071402788162,0.7373737373737373,1.5729676787463271,18.053784492672047,1.8933451804780483,0.9873377876901401,0.9934498244071456,0.29290973346999727,5.416876670484918,5.7618218513063875,5.231246386297933,35.60325702337433,36.818738833415594,35.25714179115984
0,4874.5,321.66399443149567,0.5789473684210527,1.5435429274797414,21.226325841342756,1.7374503117709044,0.9867059833519103,0.9934521088436462,0.2928810934703333,5.215523918616702,5.642190585283369,4.825359733813342,34.84100131142523,36.51236286866543,34.074463987607984
0,4825.0,320.3919162750244,0.8229166666666666,1.5718134715025907,21.274814510752798,1.8346217685832102,0.9852939245297462,0.9933136157117983,0.26984463827499194,4.496133747886325,4.719238531609665,4.273891888943435,32.18115086770556,33.24000863468975,31.746890550071104
0,4862.0,302.2497808933258,0.6634615384615384,1.4759358288770053,18.789578373110544,1.7296199065181252,0.9862652749485935,0.9935972523722746,0.2951472428037129,5.658461790214368,5.552678775977745,5.282289859815633,36.26881866002918,36.18324217641756,35.74444844605809
0,4594.5,288.0071402788162,0.7373737373737373,1.5729676787463271,18.053784492672047,1.8933451804780483,0.9873377876901401,0.9934498244071456,0.29290973346999727,5.416876670484918,5.7618218513063875,5.231246386297933,35.60325702337433,36.818738833415594,35.25714179115984
0,4874.5,321.66399443149567,0.5789473684210527,1.5435429274797414,21.226325841342756,1.7374503117709044,0.9867059833519103,0.9934521088436462,0.2928810934703333,5.215523918616702,5.642190585283369,4.825359733813342,34.84100131142523,36.51236286866543,34.074463987607984
0,4825.0,320.3919162750244,0.8229166666666666,1.5718134715025907,21.274814510752798,1.8346217685832102,0.9852939245297462,0.9933136157117983,0.26984463827499194,4.496133747886325,4.719238531609665,4.273891888943435,32.18115086770556,33.24000863468975,31.746890550071104
0,5365.0,340.04877042770386,0.5,1.6238583410997205,21.553246275748975,1.4225276798542625,0.9880992817112241,0.9936015565855538,0.2504855252509207,4.281178203240059,4.36482299678176,3.746984126984127,31.216920065348795,31.873365157207626,30.035175323432753
0,5365.0,340.04877042770386,0.5,1.6238583410997205,21.553246275748975,1.4225276798542625,0.9880992817112241,0.9936015565855538,0.2504855252509207,4.281178203240059,4.36482299678176,3.746984126984127,31.216920065348795,31.873365157207626,30.035175323432753
0,51842.0,1536.891478061676,0.22082018927444794,1.7121253038077235,45.56219697038315,15.834806036167883,0.9957676085734447,0.9618008653913797,1.006610701597247,4.267225222276768,5.973368243058965,3.6172443135329733,22.609986084315576,26.724511469791604,21.50603968905279
